label_1,label_2,model,dataset,split,prompt_format,input_type,target_modality,order,seed,n,correct,misled,neither,p_valid,selectivity
Dax,Wug,google/gemma-3-12b-it,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1990,6,4,0.998,0.993988
Dax,Wug,google/gemma-3-12b-it,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1999,0,1,0.9995,1.0
Wug,Dax,google/gemma-3-12b-it,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1994,3,3,0.9985,0.996995
Wug,Dax,google/gemma-3-12b-it,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1998,0,2,0.999,1.0
Alpha,Beta,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1991,4,5,0.9975,0.99599
Alpha,Beta,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1997,1,2,0.999,0.998999
Beta,Alpha,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1997,1,2,0.999,0.998999
Beta,Alpha,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1998,1,1,0.9995,0.998999
Dax,Wug,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1991,1,8,0.996,0.998996
Dax,Wug,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1999,0,1,0.9995,1.0
Wug,Dax,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1994,1,5,0.9975,0.998997
Wug,Dax,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1996,2,2,0.999,0.997998
