condition,model,dataset,split,prompt_format,input_type,target_modality,order,seed,n,correct,misled,neither,p_valid,selectivity,bert_gpt_agreement,n_parse_errors
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_document,inconsistent,text,icq,42,2000,1144,689,167,0.9165,0.248227,0.654,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_text,inconsistent,text,ciq,42,2000,667,908,425,0.7875,-0.153016,0.34,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_text,inconsistent,text,icq,42,2000,1068,829,103,0.9485,0.125988,0.457,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1963,33,4,0.998,0.966934,0.984,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1994,5,1,0.9995,0.994997,0.972,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_document,inconsistent,image,ciq,42,2000,1976,21,3,0.9985,0.978968,0.9875,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_document,inconsistent,image,icq,42,2000,1994,5,1,0.9995,0.994997,0.9475,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_text,inconsistent,image,ciq,42,2000,1967,32,1,0.9995,0.967984,0.9845,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_text,inconsistent,image,icq,42,2000,1996,3,1,0.9995,0.996998,0.972,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_caption,inconsistent,text,ciq,42,2000,1477,380,143,0.9285,0.590738,0.832,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_caption,inconsistent,text,icq,42,2000,1750,201,49,0.9755,0.793952,0.9055,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_document,inconsistent,text,ciq,42,2000,1073,617,310,0.845,0.269822,0.7105,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_document,inconsistent,text,icq,42,2000,730,1122,148,0.926,-0.211663,0.563,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_text,inconsistent,text,ciq,42,2000,607,964,429,0.7855,-0.227244,0.418,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_text,inconsistent,text,icq,42,2000,859,1006,135,0.9325,-0.07882,0.422,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1981,18,1,0.9995,0.981991,0.9585,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1997,3,0,1.0,0.997,0.974,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_document,inconsistent,image,ciq,42,2000,1986,12,2,0.999,0.987988,0.9625,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_document,inconsistent,image,icq,42,2000,1993,5,2,0.999,0.994995,0.9745,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_text,inconsistent,image,ciq,42,2000,1987,13,0,1.0,0.987,0.9565,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_text,inconsistent,image,icq,42,2000,1998,2,0,1.0,0.998,0.9735,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_caption,inconsistent,text,ciq,42,2000,1998,1,1,0.9995,0.998999,0.998,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_caption,inconsistent,text,icq,42,2000,1458,527,15,0.9925,0.469018,0.918,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_document,inconsistent,text,ciq,42,2000,1032,949,19,0.9905,0.041898,0.928,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_document,inconsistent,text,icq,42,2000,1029,956,15,0.9925,0.036776,0.914,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_text,inconsistent,text,ciq,42,2000,1852,133,15,0.9925,0.865995,0.9605,0
freeze_content_remove,google/gemma-3-12b-it,flickr30k,test,image_text,inconsistent,text,icq,42,2000,1062,929,9,0.9955,0.066801,0.918,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1994,6,0,1.0,0.994,0.98,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1998,2,0,1.0,0.998,0.985,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_document,inconsistent,image,ciq,42,2000,1989,10,1,0.9995,0.989995,0.979,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_document,inconsistent,image,icq,42,2000,1998,1,1,0.9995,0.998999,0.9835,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_text,inconsistent,image,ciq,42,2000,1992,6,2,0.999,0.993994,0.9775,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_text,inconsistent,image,icq,42,2000,1996,4,0,1.0,0.996,0.9865,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,text,ciq,42,2000,1991,9,0,1.0,0.991,0.99,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_caption,inconsistent,text,icq,42,2000,1303,683,14,0.993,0.312185,0.895,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_document,inconsistent,text,ciq,42,2000,925,1056,19,0.9905,-0.066128,0.9445,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_document,inconsistent,text,icq,42,2000,554,1430,16,0.992,-0.441532,0.932,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_text,inconsistent,text,ciq,42,2000,1721,270,9,0.9955,0.72878,0.9235,0
freeze_content_remove,google/gemma-3-12b-it,mscoco,test,image_text,inconsistent,text,icq,42,2000,752,1233,15,0.9925,-0.242317,0.8975,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,image_only,image,icq,42,2000,1847,0,153,0.9235,1.0,0.9255,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1996,3,1,0.9995,0.996998,0.99,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1974,24,2,0.999,0.975976,0.9695,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_document,inconsistent,image,ciq,42,2000,1956,41,3,0.9985,0.958938,0.987,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_document,inconsistent,image,icq,42,2000,1544,455,1,0.9995,0.544772,0.9875,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_text,inconsistent,image,ciq,42,2000,1956,41,3,0.9985,0.958938,0.9885,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_text,inconsistent,image,icq,42,2000,1895,104,1,0.9995,0.895948,0.9745,0
