model,dataset,intervention,layer_idx,layer_depth,split,seed,arm,target_modality,n,correct,misled,neither,p_valid,selectivity
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,43,intervention,text,100,1,96,3,0.97,-0.979381
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,44,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,44,intervention,image,100,85,12,3,0.97,0.752577
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,44,intervention,text,100,0,99,1,0.99,-1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,42,intervention,image,100,78,4,18,0.82,0.902439
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,42,intervention,text,100,1,82,17,0.83,-0.975904
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,43,intervention,image,100,75,6,19,0.81,0.851852
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,43,intervention,text,100,0,83,17,0.83,-1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,44,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,44,intervention,image,100,83,6,11,0.89,0.865169
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,44,intervention,text,100,0,84,16,0.84,-1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,42,intervention,image,100,53,7,40,0.6,0.766667
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,42,intervention,text,100,8,25,67,0.33,-0.515152
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,43,intervention,image,100,49,8,43,0.57,0.719298
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,43,intervention,text,100,8,21,71,0.29,-0.448276
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,44,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,44,intervention,image,100,51,8,41,0.59,0.728814
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,44,intervention,text,100,8,19,73,0.27,-0.407407
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,42,intervention,image,100,91,2,7,0.93,0.956989
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,42,intervention,text,100,15,59,26,0.74,-0.594595
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,43,intervention,image,100,94,0,6,0.94,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,43,intervention,text,100,15,62,23,0.77,-0.61039
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,44,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,44,intervention,image,100,93,1,6,0.94,0.978723
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,44,intervention,text,100,17,64,19,0.81,-0.580247
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,42,intervention,image,100,95,2,3,0.97,0.958763
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,42,intervention,text,100,51,37,12,0.88,0.159091
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,43,intervention,image,100,97,3,0,1.0,0.94
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,43,intervention,text,100,51,37,12,0.88,0.159091
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,44,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,44,intervention,image,100,96,2,2,0.98,0.959184
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,44,intervention,text,100,52,36,12,0.88,0.181818
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,42,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,42,intervention,image,100,31,3,66,0.34,0.823529
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,42,intervention,text,100,13,8,79,0.21,0.238095
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,43,intervention,image,100,32,2,66,0.34,0.882353
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,43,intervention,text,100,13,11,76,0.24,0.083333
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,44,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,44,intervention,image,100,32,3,65,0.35,0.828571
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,47,1.0,val,44,intervention,text,100,15,9,76,0.24,0.25
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,42,intervention,image,100,28,65,7,0.93,-0.397849
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,42,intervention,text,100,54,38,8,0.92,0.173913
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,43,intervention,image,100,17,80,3,0.97,-0.649485
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,43,intervention,text,100,39,55,6,0.94,-0.170213
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,44,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,44,intervention,image,100,5,94,1,0.99,-0.89899
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,0,0.0,val,44,intervention,text,100,68,27,5,0.95,0.431579
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,42,intervention,image,100,41,58,1,0.99,-0.171717
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,42,intervention,text,100,29,67,4,0.96,-0.395833
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,43,intervention,image,100,36,62,2,0.98,-0.265306
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,43,intervention,text,100,19,81,0,1.0,-0.62
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,44,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,44,intervention,image,100,6,91,3,0.97,-0.876289
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,6,0.125,val,44,intervention,text,100,22,77,1,0.99,-0.555556
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,42,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,42,intervention,image,100,7,93,0,1.0,-0.86
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,42,intervention,text,100,82,15,3,0.97,0.690722
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,43,intervention,image,100,7,92,1,0.99,-0.858586
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,43,intervention,text,100,85,13,2,0.98,0.734694
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,44,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,44,intervention,image,100,6,94,0,1.0,-0.88
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,12,0.25,val,44,intervention,text,100,85,15,0,1.0,0.7
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,42,intervention,image,100,63,34,3,0.97,0.298969
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,42,intervention,text,100,17,79,4,0.96,-0.645833
